#TYPE System.Management.Automation.PSCustomObject
"FixedVersion","CVSSScore","path","text","version","hasJNDI","Vulnerable","pomLocation","CVE","ComputerName","JNDILocation"
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\ext\dnsns.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\ext\jaccess.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\ext\localedata.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\ext\sunec.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\ext\sunjce_provider.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\ext\sunmscapi.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\ext\sunpkcs11.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\ext\zipfs.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\security\local_policy.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\security\US_export_policy.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\alt-rt.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\charsets.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\deploy.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\javaws.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\jce.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\jfr.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\jfxrt.jar",,,"False","False",,,"USBLND0150",
"False",,"C:\Program Files (x86)\Cisco Systems\Cisco Network Assistant\packages\runtime-1.62\lib\jsse.jar",,,"False","False",,,"USBLND0150",
